geneNames	transcriptNames	id	fc	pval	qval
.	MSTRG.8314.1	16126	4.08746264039149	7.13891829602353e-05	0.87545165134104
.	MSTRG.1880.3	3483	4.77678618151732	0.000162560441618109	0.87545165134104
.	MSTRG.9980.3	19547	1.59357879262752	0.000210954212728653	0.87545165134104
.	MSTRG.1731.2	3180	0.481924856443402	0.000329776148597749	0.87545165134104
.	MSTRG.10725.2	21003	37.5277738299261	0.000508248302787173	0.87545165134104
.	MSTRG.282.1	506	1.3911433432277	0.000531837968723692	0.87545165134104
.	MSTRG.5203.1	9800	0.47296076908691	0.000576117990003011	0.87545165134104
.	MSTRG.3591.4	6677	0.310082163464744	0.000697415168361859	0.87545165134104
.	MSTRG.10879.2	21354	0.493363485581621	0.000706902062103554	0.87545165134104
.	MSTRG.10799.1	21172	1.597599720279	0.00071243139346211	0.87545165134104
.	MSTRG.10259.1	20077	0.143988090465797	0.000811618356584054	0.87545165134104
.	MSTRG.2055.1	3816	1.81248355386217	0.000959206666142576	0.87545165134104
.	MSTRG.11182.1	21979	0.455260674122062	0.00110709496200267	0.87545165134104
.	MSTRG.9948.2	19465	0.716018822601765	0.00124410544107845	0.87545165134104
.	MSTRG.940.4	1719	0.407024355460971	0.00131869602814572	0.87545165134104
.	MSTRG.9756.2	19114	3.75968197695824	0.0013988221566642	0.87545165134104
.	MSTRG.9721.1	19052	0.75215077722449	0.00143344766826559	0.87545165134104
.	MSTRG.10148.2	19877	0.516733928519101	0.00152864512786044	0.87545165134104
.	MSTRG.10839.2	21266	0.318333072083478	0.00154630649817677	0.87545165134104
.	MSTRG.11613.24	22925	5.35398034017295	0.00161393080481465	0.87545165134104
.	MSTRG.802.1	1452	1.32062634752824	0.0017122080693116	0.87545165134104
.	MSTRG.2921.2	5458	0.445922714115643	0.00184007227170235	0.87545165134104
.	MSTRG.10345.3	20246	2.36495422111681	0.00189175425684851	0.87545165134104
.	MSTRG.3910.3	7292	3.325432003649	0.00191059992038956	0.87545165134104
.	MSTRG.9132.1	17821	0.613883722872935	0.00202395042911796	0.87545165134104
.	MSTRG.8099.3	15737	2.20784622960993	0.00203752013611891	0.87545165134104
.	MSTRG.1435.1	2656	1.56560381042807	0.00206121362411471	0.87545165134104
.	MSTRG.7471.1	14493	0.793641132432533	0.00206522469293513	0.87545165134104
.	MSTRG.546.1	942	1.55613580114905	0.00224703193451914	0.87545165134104
.	MSTRG.10332.5	20224	3.22338205342922	0.00224707342134967	0.87545165134104
.	MSTRG.12670.6	24946	0.203755166007797	0.00231410203459603	0.87545165134104
.	MSTRG.7334.4	14222	0.298503919195005	0.00231613729576496	0.87545165134104
.	MSTRG.8442.1	16376	1.35689585161216	0.0024335484164747	0.87545165134104
.	MSTRG.10496.1	20540	2.2186258564151	0.00247719358905463	0.87545165134104
.	MSTRG.8209.1	15934	1.07873506764746	0.00259124139255618	0.87545165134104
.	MSTRG.2097.2	3921	1.89529602043954	0.00261884133986923	0.87545165134104
.	MSTRG.4386.2	8239	1.28818144290871	0.00267672142777808	0.87545165134104
.	MSTRG.3761.3	7001	0.731809342215852	0.00273023317862775	0.87545165134104
.	MSTRG.4981.1	9439	2.25056456293515	0.0029052039804689	0.87545165134104
.	MSTRG.7299.1	14157	1.38254851323925	0.00294527221055563	0.87545165134104
.	MSTRG.1755.1	3218	0.721296942012235	0.00300446913480445	0.87545165134104
.	MSTRG.10015.1	19615	0.471746070767704	0.00301656286866558	0.87545165134104
.	MSTRG.10468.2	20481	0.545052610861086	0.00311807201505132	0.87545165134104
.	MSTRG.5795.3	11044	4.75615585659809	0.00321814122544617	0.87545165134104
.	MSTRG.10863.4	21315	1.39108159463641	0.00335771539658614	0.87545165134104
.	MSTRG.10119.2	19808	1.11081713366879	0.00340067044775283	0.87545165134104
.	MSTRG.9613.2	18842	1.92369364386772	0.00352983026335862	0.87545165134104
.	MSTRG.5522.3	10477	0.0136525238119982	0.00359911788271294	0.87545165134104
.	MSTRG.9588.1	18800	1.07831949158933	0.00374459244262781	0.87545165134104
.	MSTRG.3022.1	5648	0.586909725022193	0.00377371860114351	0.87545165134104
.	MSTRG.11445.3	22496	1.55677222850654	0.00382231732839777	0.87545165134104
.	MSTRG.880.1	1591	0.373042705662278	0.00383986150461979	0.87545165134104
.	MSTRG.8833.1	17222	0.198561659923933	0.0039299644745856	0.87545165134104
.	MSTRG.12846.1	25337	0.930145954135944	0.00403148465794356	0.87545165134104
.	MSTRG.5675.1	10772	1.286110103462	0.00406592396441896	0.87545165134104
.	MSTRG.3202.5	5970	0.349525575438442	0.00408437799333616	0.87545165134104
.	MSTRG.6748.1	13043	1.2663358268138	0.004178556555824	0.87545165134104
.	MSTRG.7194.1	13933	1.24253594881998	0.00423964592292803	0.87545165134104
.	MSTRG.11945.2	23689	1.91154118713357	0.00427384991761004	0.87545165134104
.	MSTRG.4556.2	8570	0.732279655155946	0.00434839185357139	0.87545165134104
.	MSTRG.3899.2	7266	7.40313672543138	0.00441814945965191	0.87545165134104
.	MSTRG.1718.5	3150	2.25334409128744	0.00446685044717987	0.87545165134104
.	MSTRG.4492.3	8447	0.902385890999321	0.00447375430152275	0.87545165134104
.	MSTRG.8812.20	17149	2.43399452814823	0.00486936582803033	0.87545165134104
.	MSTRG.4347.1	8170	0.764502621125787	0.00487625546151249	0.87545165134104
.	MSTRG.11300.1	22212	0.825576298722038	0.00490961832428483	0.87545165134104
.	MSTRG.11549.2	22712	6.99612649483678	0.00495905677164521	0.87545165134104
